review_id,rating,text,your_tag
1a854a82-3ff8-4b23-af01-0d91cf13c7fb,1,Beware of Cheating Technicians engaged by Urban Company. Recently I engaged them for Aquaguard repairs. The Technician changed the Membrane filter and collected payment of 2850/- through GPAY. It's faulty within 6 months against its Guarantee period of 1 year. Now they refused to replace it without any full payment of 2850/-. I have got bitter experience with them.,
121df1d2-aecd-4780-989a-0a986961f684,1,I used this app. their technicians make fool of you and charged hefty & cheated,
4e335c0b-f7a3-456c-9c9a-d241e891864f,1,thier ac service is very poor. thier technicians forcefully ask for 5 star rating even thier work is very very unsatisfactory. thier technician work for ac servicing and after warter leak he told not to inform UC. some how after fix the issue wrongly my ac started malfunctioning. After that I have to reistall the ac by Connect xpert. Govt should bannd UC.,
5ef4805b-6bcb-44d9-a149-74530bbb5402,1,poor communication.. don't get ur appliances repaired from them,
d4c66e38-9a61-4b9f-a8ca-7fefc1714224,1,Fraud Company There customer care don't even respond. Even after paying the consultation in the right category - it gets booked in some other and no one is taking ownership. Also within fraction of seconds - the price for full bathroom grouting which was priced at 3500 went up to 4500+. If you can't give proper service - then why are you looting people's money.,
0e55a0a2-9528-4bd2-bf2f-f0c4c77d2ed8,2,o3+ facial ka anti ageing facial ko kyu bandh kia,
3af2e037-e2d6-400b-a0d6-73df71331315,1,maine 6188 ka owdr kiya jismain maine 2 Rica roll bhi Dale the jismain ki jb owdr aaya toh 2 Rica roll nhi aaye the maine company main complaint dali toh unone bola ki warehouse se refund cancel ho gya hai agr mere pss Rica roll on ki booking aa gyi toh main kya krungi aise toh koi bhi owdr nhi dalega ap logo pr phle bhi owdr kiya th toh usmain Rica ka box khula hua aaya th fir owdr kiya th toh oil khula hua aaya th ab owdr kiya toh Rica roll hi nhi aaye 2 ab btao main kya kru,
858f6b09-039d-4063-8e65-ab059c4f96bd,1,"I am dissatisfied with urban company....They have cheated me....2 months back I had filed a complaint regarding my water purifier. Its tap was broken and the engineer had to visit me but he didn't turn up and the company had charged the service fee from me in this current service( hair Straightening)which I had taken from them without my knowledge.So, don't trust this company...It is of no use.. They just make us fool and cheat us...BEWARE OF THEM!!",
326ebbc5-ec2a-42cd-a8ed-1c4fb5369370,1,pathetic services I am suggesting everyone who is reading the reviews don't try urban company it's just fraud I had faced a really bad experience with my refrigerator also my aunt please get some technician known to u never from urban company,
96227df0-3ada-495c-8a46-c07fb4ac9678,1,They charged me 200 for the service I didn't even availed. Worst customer centric company,
